Regioaanduiding.Codering..code.,Perioden,Wijken.en.buurten.x,Regioaanduiding.Gemeentenaam..naam..x,Regioaanduiding.Soort.regio..omschrijving..x,Regioaanduiding.Indelingswijziging.wijken.en.buurten..code.,Horeca.Cafés.en.dergelijke.Afstand.tot.café.e.d...km.,Leeftijd,Marges,Wijken.en.buurten.y,Regioaanduiding.Gemeentenaam..naam..y,Regioaanduiding.Soort.regio..omschrijving..y,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
BU05990110,2016,Stadsdriehoek,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Stadsdriehoek,Rotterdam,Buurt,79.4,58.6,9.7,27.6,32.2,85.3,13.4,7.8,28.0,.,.,6.8,11.1
BU05990110,2020,Stadsdriehoek,Rotterdam,Buurt,3,"0,2",18 jaar of ouder,Waarde,Stadsdriehoek,Rotterdam,Buurt,82.3,51.9,10.4,21.1,32.7,83.7,13.0,8.0,26.4,.,.,7.9,13.5
BU05990110,2022,Stadsdriehoek,Rotterdam,Buurt,1,0.2,18 jaar of ouder,Waarde,Stadsdriehoek,Rotterdam,Buurt,71.7,53.6,10.5,22.9,32.6,83.2,14.5,9.2,28.4,28.9,18.6,13.3,19.0
BU05990111,2016,Oude Westen,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Oude Westen,Rotterdam,Buurt,62.2,50.5,16.4,29.4,54.0,62.0,10.1,5.8,38.4,.,.,14.3,17.4
BU05990111,2020,Oude Westen,Rotterdam,Buurt,3,"0,2",18 jaar of ouder,Waarde,Oude Westen,Rotterdam,Buurt,70.4,46.8,16.3,22.5,53.0,62.2,9.9,5.6,33.8,.,.,12.2,18.8
BU05990111,2022,Oude Westen,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Oude Westen,Rotterdam,Buurt,58.0,49.0,16.8,24.8,52.1,62.9,10.8,6.6,36.8,35.8,27.1,20.4,24.8
BU05990112,2016,Cool,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Cool,Rotterdam,Buurt,75.1,56.4,10.8,29.3,38.0,79.6,12.4,7.0,28.8,.,.,8.7,13.0
BU05990112,2020,Cool,Rotterdam,Buurt,3,"0,1",18 jaar of ouder,Waarde,Cool,Rotterdam,Buurt,80.6,50.6,11.4,21.7,36.1,80.6,12.4,6.9,26.7,.,.,9.0,14.8
BU05990112,2022,Cool,Rotterdam,Buurt,1,0.2,18 jaar of ouder,Waarde,Cool,Rotterdam,Buurt,69.7,53.6,11.5,24.3,35.4,80.0,13.5,8.2,29.1,30.4,19.6,14.6,20.4
BU05990113,2016,Cs Kwartier,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Cs Kwartier,Rotterdam,Buurt,80.4,59.0,9.2,27.2,34.0,84.8,12.8,7.7,26.2,.,.,6.7,11.2
BU05990113,2020,Cs Kwartier,Rotterdam,Buurt,3,"0,2",18 jaar of ouder,Waarde,Cs Kwartier,Rotterdam,Buurt,84.9,53.3,9.9,19.8,36.4,84.6,11.9,7.4,24.0,.,.,7.1,14.2
BU05990113,2022,Cs Kwartier,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Cs Kwartier,Rotterdam,Buurt,73.1,54.6,10.4,22.1,33.5,83.8,12.5,8.4,27.4,27.4,17.4,13.4,20.0
BU05990118,2016,Nieuwe Werk,Rotterdam,Buurt,3,"0,3",18 jaar of ouder,Waarde,Nieuwe Werk,Rotterdam,Buurt,83.8,58.9,9.5,24.0,29.6,90.4,11.9,9.3,25.9,.,.,5.5,9.5
BU05990118,2020,Nieuwe Werk,Rotterdam,Buurt,3,"0,3",18 jaar of ouder,Waarde,Nieuwe Werk,Rotterdam,Buurt,85.7,51.1,9.6,17.5,29.0,89.2,10.7,6.8,24.5,.,.,6.8,11.1
BU05990118,2022,Nieuwe Werk,Rotterdam,Buurt,3,0.2,18 jaar of ouder,Waarde,Nieuwe Werk,Rotterdam,Buurt,75.6,51.6,11.2,20.0,32.7,86.0,11.6,7.9,26.9,25.6,15.8,12.0,15.8
BU05990119,2016,Dijkzigt,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Dijkzigt,Rotterdam,Buurt,83.2,64.9,8.5,29.1,26.5,89.8,14.7,7.7,22.6,.,.,7.9,10.7
BU05990119,2020,Dijkzigt,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Dijkzigt,Rotterdam,Buurt,84.7,55.0,11.3,23.9,27.3,88.2,15.0,7.6,21.0,.,.,10.7,13.7
BU05990119,2022,Dijkzigt,Rotterdam,Buurt,3,0.6,18 jaar of ouder,Waarde,Dijkzigt,Rotterdam,Buurt,74.5,54.4,10.3,22.2,27.2,87.3,17.3,9.4,25.8,29.6,17.4,14.5,15.7
BU05990320,2016,Delfshaven,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Delfshaven,Rotterdam,Buurt,70.1,55.3,14.4,31.6,42.7,72.7,11.9,6.6,32.9,.,.,12.3,15.3
BU05990320,2020,Delfshaven,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Delfshaven,Rotterdam,Buurt,76.5,50.5,15.2,24.6,43.4,73.8,10.6,5.8,28.1,.,.,11.6,16.7
BU05990320,2022,Delfshaven,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Delfshaven,Rotterdam,Buurt,64.7,50.0,15.0,25.0,43.0,72.8,13.9,7.6,31.9,34.8,24.3,18.2,21.9
BU05990321,2016,Bospolder,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Bospolder,Rotterdam,Buurt,57.6,47.5,20.6,30.1,64.5,49.9,8.9,4.3,41.4,.,.,16.6,18.8
BU05990321,2020,Bospolder,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Bospolder,Rotterdam,Buurt,66.8,45.6,20.7,24.7,64.2,51.6,7.0,3.9,35.0,.,.,14.4,20.6
BU05990321,2022,Bospolder,Rotterdam,Buurt,3,0.2,18 jaar of ouder,Waarde,Bospolder,Rotterdam,Buurt,54.6,44.4,19.8,24.9,61.9,53.1,8.9,5.0,38.2,38.2,30.6,20.5,26.6
BU05990322,2016,Tussendijken,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Tussendijken,Rotterdam,Buurt,57.1,47.7,19.0,30.9,62.3,51.4,8.9,4.6,41.9,.,.,17.2,19.6
BU05990322,2020,Tussendijken,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Tussendijken,Rotterdam,Buurt,66.8,46.8,19.4,26.0,62.2,53.3,8.2,4.4,35.1,.,.,14.8,21.1
BU05990322,2022,Tussendijken,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Tussendijken,Rotterdam,Buurt,53.1,46.3,19.5,26.9,60.3,54.1,9.8,5.6,38.6,39.7,32.2,21.5,27.7
BU05990323,2016,Spangen,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Spangen,Rotterdam,Buurt,62.0,49.8,19.1,28.0,64.6,50.0,7.4,3.7,37.2,.,.,14.7,17.5
BU05990323,2020,Spangen,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Spangen,Rotterdam,Buurt,70.0,46.0,19.3,23.8,66.7,48.7,6.4,3.6,32.2,.,.,13.5,19.7
BU05990323,2022,Spangen,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Spangen,Rotterdam,Buurt,56.3,45.8,20.0,24.3,61.9,51.7,8.1,4.7,36.0,37.3,28.5,19.8,26.3
BU05990324,2016,Nieuwe Westen,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Nieuwe Westen,Rotterdam,Buurt,66.1,53.2,14.9,29.2,53.2,61.1,9.8,5.5,36.0,.,.,13.4,16.0
BU05990324,2020,Nieuwe Westen,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Nieuwe Westen,Rotterdam,Buurt,73.6,50.3,15.7,23.1,54.5,62.0,9.4,5.5,30.9,.,.,12.0,17.6
BU05990324,2022,Nieuwe Westen,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Nieuwe Westen,Rotterdam,Buurt,60.6,49.6,16.3,24.6,52.2,62.6,11.0,6.6,34.3,34.8,26.4,18.7,23.9
BU05990325,2016,Middelland,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Middelland,Rotterdam,Buurt,72.3,56.1,12.4,29.7,43.1,72.8,11.6,6.3,32.1,.,.,10.7,14.2
BU05990325,2020,Middelland,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Middelland,Rotterdam,Buurt,77.9,52.1,13.0,22.4,42.9,72.9,11.3,6.5,28.3,.,.,10.3,15.7
BU05990325,2022,Middelland,Rotterdam,Buurt,1,0.2,18 jaar of ouder,Waarde,Middelland,Rotterdam,Buurt,67.0,52.9,13.5,24.4,42.3,73.2,12.8,7.6,31.3,31.9,22.2,17.1,21.2
BU05990327,2016,Oud Mathenesse,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Oud Mathenesse,Rotterdam,Buurt,67.6,50.5,16.8,31.1,50.6,69.7,9.4,5.6,35.4,.,.,11.4,17.0
BU05990327,2020,Oud Mathenesse,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Oud Mathenesse,Rotterdam,Buurt,73.9,45.5,17.3,27.2,53.4,67.5,8.0,5.0,30.7,.,.,11.4,19.6
BU05990327,2022,Oud Mathenesse,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Oud Mathenesse,Rotterdam,Buurt,61.7,46.2,18.4,27.7,50.7,69.8,9.2,6.1,33.7,34.6,23.8,17.1,25.4
BU05990328,2016,Witte Dorp,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Witte Dorp,Rotterdam,Buurt,57.2,44.6,26.5,28.4,64.9,53.0,7.0,4.4,44.2,.,.,14.3,16.6
BU05990328,2020,Witte Dorp,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Witte Dorp,Rotterdam,Buurt,65.4,43.1,23.6,23.4,68.2,46.3,5.5,4.5,38.4,.,.,12.6,19.4
BU05990328,2022,Witte Dorp,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Witte Dorp,Rotterdam,Buurt,52.2,41.4,24.6,23.9,68.0,48.0,6.5,4.8,41.3,35.3,29.3,18.6,24.8
BU05990329,2016,Schiemond,Rotterdam,Buurt,3,"0,4",18 jaar of ouder,Waarde,Schiemond,Rotterdam,Buurt,67.5,47.9,17.9,24.0,55.2,63.9,8.1,5.2,36.5,.,.,11.8,14.9
BU05990329,2020,Schiemond,Rotterdam,Buurt,1,"0,7",18 jaar of ouder,Waarde,Schiemond,Rotterdam,Buurt,72.9,44.9,18.6,19.4,57.2,61.8,5.9,3.9,32.5,.,.,10.3,16.7
BU05990329,2022,Schiemond,Rotterdam,Buurt,3,0.8,18 jaar of ouder,Waarde,Schiemond,Rotterdam,Buurt,61.1,44.7,18.7,20.3,58.5,60.6,6.8,4.8,36.9,30.7,24.5,15.5,22.2
BU05990451,2016,Kleinpolder,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Kleinpolder,Rotterdam,Buurt,64.5,43.3,18.5,24.9,58.0,64.1,7.3,5.4,39.6,.,.,11.5,15.7
BU05990451,2020,Kleinpolder,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Kleinpolder,Rotterdam,Buurt,71.5,42.2,19.8,20.2,61.1,59.9,5.8,4.2,35.8,.,.,10.5,17.4
BU05990451,2022,Kleinpolder,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Kleinpolder,Rotterdam,Buurt,58.6,40.1,21.1,20.9,61.1,59.8,6.6,4.8,37.8,31.0,24.7,15.8,22.6
BU05990452,2016,Noord Kethel,Rotterdam,Buurt,1,"2,9",18 jaar of ouder,Waarde,Noord Kethel,Rotterdam,Buurt,80.7,45.6,12.7,16.0,39.3,85.8,8.7,7.3,29.8,.,.,3.5,6.1
BU05990452,2020,Noord Kethel,Rotterdam,Buurt,3,"2,9",18 jaar of ouder,Waarde,Noord Kethel,Rotterdam,Buurt,83.9,46.1,11.4,10.0,44.6,85.4,6.5,6.9,30.3,.,.,2.5,7.9
BU05990452,2022,Noord Kethel,Rotterdam,Buurt,1,2.9,18 jaar of ouder,Waarde,Noord Kethel,Rotterdam,Buurt,76.3,49.2,12.8,10.3,41.3,83.3,7.8,7.1,33.0,13.0,11.4,4.5,8.3
BU05990454,2016,Schieveen,Rotterdam,Buurt,1,"3,5",18 jaar of ouder,Waarde,Schieveen,Rotterdam,Buurt,81.6,47.8,12.8,17.6,38.9,86.7,8.1,6.8,30.1,.,.,3.5,6.0
BU05990454,2020,Schieveen,Rotterdam,Buurt,3,"3,4",18 jaar of ouder,Waarde,Schieveen,Rotterdam,Buurt,83.7,48.3,12.0,10.6,42.5,85.0,7.4,7.4,28.1,.,.,3.6,6.5
BU05990454,2022,Schieveen,Rotterdam,Buurt,3,3.4,18 jaar of ouder,Waarde,Schieveen,Rotterdam,Buurt,76.1,45.9,13.6,12.5,40.6,83.7,8.4,6.6,29.1,17.1,13.0,6.1,9.8
BU05990455,2016,Zestienhoven,Rotterdam,Buurt,1,"1,4",18 jaar of ouder,Waarde,Zestienhoven,Rotterdam,Buurt,84.3,51.2,11.5,17.5,39.5,84.3,7.2,5.1,26.2,.,.,4.1,6.5
BU05990455,2020,Zestienhoven,Rotterdam,Buurt,1,"1,9",18 jaar of ouder,Waarde,Zestienhoven,Rotterdam,Buurt,88.0,51.1,10.7,11.3,39.3,84.4,5.5,4.1,22.7,.,.,4.2,7.9
BU05990455,2022,Zestienhoven,Rotterdam,Buurt,3,2,18 jaar of ouder,Waarde,Zestienhoven,Rotterdam,Buurt,79.0,48.0,11.8,11.9,40.8,82.1,7.1,4.6,24.7,16.5,12.0,6.3,10.9
BU05990456,2016,Overschie,Rotterdam,Buurt,1,"0,5",18 jaar of ouder,Waarde,Overschie,Rotterdam,Buurt,75.1,48.2,15.6,22.6,44.6,79.4,8.3,6.8,34.9,.,.,7.2,10.8
BU05990456,2020,Overschie,Rotterdam,Buurt,1,"0,5",18 jaar of ouder,Waarde,Overschie,Rotterdam,Buurt,79.4,47.3,16.1,18.1,46.1,77.9,7.2,5.6,31.6,.,.,7.2,12.3
BU05990456,2022,Overschie,Rotterdam,Buurt,1,0.5,18 jaar of ouder,Waarde,Overschie,Rotterdam,Buurt,69.2,44.1,17.3,18.0,45.8,77.8,8.3,6.1,33.6,23.9,17.6,11.4,15.8
BU05990457,2016,Landzicht,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Landzicht,Rotterdam,Buurt,65.2,41.2,21.6,30.3,44.3,77.9,10.2,8.0,43.8,.,.,10.3,13.6
BU05990457,2020,Landzicht,Rotterdam,Buurt,1,"0,5",18 jaar of ouder,Waarde,Landzicht,Rotterdam,Buurt,67.9,40.6,24.4,26.3,50.0,71.4,7.9,6.5,43.3,.,.,10.6,15.8
BU05990457,2022,Landzicht,Rotterdam,Buurt,1,0.5,18 jaar of ouder,Waarde,Landzicht,Rotterdam,Buurt,57.4,37.6,24.2,25.6,48.8,72.3,9.2,7.1,41.2,27.9,22.8,13.7,18.7
BU05990515,2016,Agniesebuurt,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Agniesebuurt,Rotterdam,Buurt,65.5,54.6,15.9,30.1,51.1,64.3,10.5,6.3,37.3,.,.,13.5,16.7
BU05990515,2020,Agniesebuurt,Rotterdam,Buurt,3,"0,2",18 jaar of ouder,Waarde,Agniesebuurt,Rotterdam,Buurt,73.2,50.6,15.8,24.2,50.3,65.0,10.5,6.2,32.2,.,.,12.2,18.2
BU05990515,2022,Agniesebuurt,Rotterdam,Buurt,1,0.2,18 jaar of ouder,Waarde,Agniesebuurt,Rotterdam,Buurt,59.6,48.8,16.3,25.8,48.7,65.3,11.9,7.2,35.4,37.5,26.6,19.6,23.6
BU05990516,2016,Provenierswijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Provenierswijk,Rotterdam,Buurt,72.3,58.3,12.4,28.7,43.3,73.8,11.5,6.5,32.4,.,.,10.7,13.7
BU05990516,2020,Provenierswijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Provenierswijk,Rotterdam,Buurt,77.6,51.9,13.1,22.6,43.2,73.5,11.3,6.9,29.2,.,.,10.5,16.2
BU05990516,2022,Provenierswijk,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Provenierswijk,Rotterdam,Buurt,65.6,52.9,13.5,24.6,40.9,74.2,12.9,7.8,31.9,32.8,22.6,17.4,21.7
BU05990531,2016,Bergpolder,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Bergpolder,Rotterdam,Buurt,75.9,60.6,10.7,31.2,35.1,81.5,12.9,6.8,29.8,.,.,9.5,12.6
BU05990531,2020,Bergpolder,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Bergpolder,Rotterdam,Buurt,81.4,56.5,11.0,23.7,33.8,81.9,12.8,7.0,26.6,.,.,9.3,14.3
BU05990531,2022,Bergpolder,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Bergpolder,Rotterdam,Buurt,69.9,55.1,11.6,25.5,33.2,81.1,15.6,8.9,28.9,30.8,20.8,15.6,19.2
BU05990532,2016,Blijdorp,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Blijdorp,Rotterdam,Buurt,78.9,58.3,10.2,24.5,34.3,86.0,10.8,7.1,29.8,.,.,6.1,9.5
BU05990532,2020,Blijdorp,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Blijdorp,Rotterdam,Buurt,83.3,54.1,10.0,18.6,32.6,86.5,11.0,7.0,26.3,.,.,6.7,11.3
BU05990532,2022,Blijdorp,Rotterdam,Buurt,1,0.6,18 jaar of ouder,Waarde,Blijdorp,Rotterdam,Buurt,75.4,52.6,10.8,18.9,30.1,86.0,14.2,8.6,28.1,24.7,15.7,10.7,15.0
BU05990534,2016,Liskwartier,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Liskwartier,Rotterdam,Buurt,70.9,55.1,13.4,27.2,44.2,73.3,10.7,6.3,34.5,.,.,10.3,13.2
BU05990534,2020,Liskwartier,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Liskwartier,Rotterdam,Buurt,76.7,51.5,13.6,20.8,44.0,72.4,10.1,6.7,30.7,.,.,9.6,14.9
BU05990534,2022,Liskwartier,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Liskwartier,Rotterdam,Buurt,65.7,52.0,14.2,22.4,43.1,72.3,12.0,7.6,33.1,30.0,22.1,15.6,19.7
BU05990535,2016,Oude Noorden,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Oude Noorden,Rotterdam,Buurt,64.3,52.6,16.6,30.5,53.2,61.8,10.3,5.5,37.1,.,.,13.9,16.8
BU05990535,2020,Oude Noorden,Rotterdam,Buurt,3,"0,2",18 jaar of ouder,Waarde,Oude Noorden,Rotterdam,Buurt,71.8,48.7,16.7,24.0,52.2,62.6,9.8,6.0,33.3,.,.,12.5,18.4
BU05990535,2022,Oude Noorden,Rotterdam,Buurt,1,0.2,18 jaar of ouder,Waarde,Oude Noorden,Rotterdam,Buurt,58.9,50.0,16.9,25.2,51.1,62.8,11.1,6.7,35.9,35.4,27.4,20.0,24.2
BU05990558,2016,Blijdorpsepolder,Rotterdam,Buurt,1,"1,1",18 jaar of ouder,Waarde,Blijdorpsepolder,Rotterdam,Buurt,68.7,46.9,18.1,27.6,39.1,81.3,10.3,8.6,39.9,.,.,10.4,11.6
BU05990558,2020,Blijdorpsepolder,Rotterdam,Buurt,1,"1,1",18 jaar of ouder,Waarde,Blijdorpsepolder,Rotterdam,Buurt,73.0,46.0,18.6,18.4,38.7,83.1,7.9,7.0,40.9,.,.,9.8,10.3
BU05990558,2022,Blijdorpsepolder,Rotterdam,Buurt,1,1.1,18 jaar of ouder,Waarde,Blijdorpsepolder,Rotterdam,Buurt,68.5,43.6,17.3,20.4,41.2,83.3,9.6,7.0,34.0,21.2,15.4,9.6,11.5
BU05990660,2016,Schiebroek,Rotterdam,Buurt,1,"1,5",18 jaar of ouder,Waarde,Schiebroek,Rotterdam,Buurt,68.7,47.1,16.1,23.9,49.9,73.2,7.8,5.9,38.1,.,.,10.0,13.8
BU05990660,2020,Schiebroek,Rotterdam,Buurt,3,"1,6",18 jaar of ouder,Waarde,Schiebroek,Rotterdam,Buurt,74.0,47.6,16.9,18.7,52.6,69.4,6.4,5.0,34.5,.,.,9.2,15.5
BU05990660,2022,Schiebroek,Rotterdam,Buurt,1,1.6,18 jaar of ouder,Waarde,Schiebroek,Rotterdam,Buurt,63.0,45.2,18.1,19.1,52.9,68.9,7.4,5.7,36.9,28.0,21.8,14.3,19.4
BU05990661,2016,Hillegersberg Zuid,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Hillegersberg Zuid,Rotterdam,Buurt,80.5,55.8,11.8,22.5,36.1,86.1,9.8,6.9,29.8,.,.,5.6,8.9
BU05990661,2020,Hillegersberg Zuid,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Hillegersberg Zuid,Rotterdam,Buurt,83.7,53.1,11.9,17.0,35.5,85.5,8.6,6.2,27.1,.,.,6.0,10.3
BU05990661,2022,Hillegersberg Zuid,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Hillegersberg Zuid,Rotterdam,Buurt,74.8,50.6,12.8,17.3,37.3,84.3,9.9,7.0,28.9,22.4,14.8,10.0,13.8
BU05990662,2016,Hillegersberg Noord,Rotterdam,Buurt,1,"1,8",18 jaar of ouder,Waarde,Hillegersberg Noord,Rotterdam,Buurt,72.8,46.1,14.0,19.3,43.4,80.8,7.8,7.1,36.9,.,.,7.1,11.0
BU05990662,2020,Hillegersberg Noord,Rotterdam,Buurt,3,"1,8",18 jaar of ouder,Waarde,Hillegersberg Noord,Rotterdam,Buurt,77.0,45.1,14.6,15.6,46.4,78.8,7.0,7.0,34.4,.,.,6.7,12.4
BU05990662,2022,Hillegersberg Noord,Rotterdam,Buurt,1,1.8,18 jaar of ouder,Waarde,Hillegersberg Noord,Rotterdam,Buurt,67.4,43.6,15.7,15.8,47.9,76.3,7.2,6.3,35.6,22.4,17.1,10.0,15.5
BU05990664,2016,Terbregge,Rotterdam,Buurt,1,"2,4",18 jaar of ouder,Waarde,Terbregge,Rotterdam,Buurt,81.5,50.9,13.1,18.3,39.5,83.8,8.0,6.0,28.9,.,.,5.0,7.8
BU05990664,2020,Terbregge,Rotterdam,Buurt,1,"2,7",18 jaar of ouder,Waarde,Terbregge,Rotterdam,Buurt,83.5,47.7,14.1,13.8,40.6,83.3,7.0,5.6,28.7,.,.,5.2,9.1
BU05990664,2022,Terbregge,Rotterdam,Buurt,1,2.8,18 jaar of ouder,Waarde,Terbregge,Rotterdam,Buurt,73.8,46.4,15.1,14.1,42.9,81.1,8.2,6.2,30.8,18.9,14.4,8.0,12.4
