Regioaanduiding.Codering..code.,Perioden,Wijken.en.buurten.x,Regioaanduiding.Gemeentenaam..naam..x,Regioaanduiding.Soort.regio..omschrijving..x,Regioaanduiding.Indelingswijziging.wijken.en.buurten..code.,Horeca.Cafés.en.dergelijke.Afstand.tot.café.e.d...km.,Leeftijd,Marges,Wijken.en.buurten.y,Regioaanduiding.Gemeentenaam..naam..y,Regioaanduiding.Soort.regio..omschrijving..y,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
BU05990665,2016,Molenlaankwartier,Rotterdam,Buurt,1,"2,2",18 jaar of ouder,Waarde,Molenlaankwartier,Rotterdam,Buurt,80.7,49.2,10.6,14.1,37.9,87.7,7.1,6.9,31.4,.,.,3.9,7.3
BU05990665,2020,Molenlaankwartier,Rotterdam,Buurt,1,"2,2",18 jaar of ouder,Waarde,Molenlaankwartier,Rotterdam,Buurt,83.5,48.8,10.9,10.2,40.3,86.0,6.5,5.7,29.4,.,.,4.1,8.5
BU05990665,2022,Molenlaankwartier,Rotterdam,Buurt,1,2.3,18 jaar of ouder,Waarde,Molenlaankwartier,Rotterdam,Buurt,76.3,47.2,11.6,10.9,42.3,83.3,6.9,6.1,29.8,16.5,11.8,6.1,11.1
BU05990814,2016,Rubroek,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Rubroek,Rotterdam,Buurt,67.6,54.4,15.2,29.5,46.6,70.2,11.8,6.2,35.3,.,.,11.8,15.4
BU05990814,2020,Rubroek,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Rubroek,Rotterdam,Buurt,73.1,48.7,15.5,23.3,47.1,68.5,11.1,6.7,32.5,.,.,11.6,17.5
BU05990814,2022,Rubroek,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Rubroek,Rotterdam,Buurt,60.6,49.5,15.9,24.9,46.0,68.7,12.3,8.0,34.8,34.8,26.0,17.8,23.2
BU05990836,2016,Nieuw Crooswijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Nieuw Crooswijk,Rotterdam,Buurt,69.1,54.0,15.6,30.5,47.7,67.9,11.1,6.1,34.0,.,.,12.6,15.4
BU05990836,2020,Nieuw Crooswijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Nieuw Crooswijk,Rotterdam,Buurt,76.8,50.6,13.5,22.4,45.7,69.8,9.5,5.7,29.6,.,.,10.9,15.6
BU05990836,2022,Nieuw Crooswijk,Rotterdam,Buurt,3,0.3,18 jaar of ouder,Waarde,Nieuw Crooswijk,Rotterdam,Buurt,64.5,49.9,15.6,22.0,45.4,68.5,11.0,6.6,33.0,31.8,23.7,16.5,20.5
BU05990837,2016,Oud Crooswijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Oud Crooswijk,Rotterdam,Buurt,57.8,48.5,20.0,31.1,60.6,54.3,9.4,5.2,42.2,.,.,16.6,19.4
BU05990837,2020,Oud Crooswijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Oud Crooswijk,Rotterdam,Buurt,66.4,46.2,19.5,25.4,59.5,54.5,9.0,5.6,36.9,.,.,14.7,20.4
BU05990837,2022,Oud Crooswijk,Rotterdam,Buurt,1,0.2,18 jaar of ouder,Waarde,Oud Crooswijk,Rotterdam,Buurt,52.2,45.9,20.0,26.3,58.7,54.9,9.9,6.4,40.2,39.1,32.0,21.8,26.8
BU05990841,2016,Kralingen West,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Kralingen West,Rotterdam,Buurt,70.7,55.5,13.0,28.7,44.3,71.6,12.4,6.9,33.6,.,.,10.8,14.5
BU05990841,2020,Kralingen West,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Kralingen West,Rotterdam,Buurt,75.7,49.4,13.4,22.2,43.4,71.5,12.0,7.5,30.5,.,.,10.3,16.1
BU05990841,2022,Kralingen West,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Kralingen West,Rotterdam,Buurt,64.0,50.7,13.8,23.4,43.0,71.0,13.8,8.9,33.1,32.7,24.0,16.5,21.4
BU05990842,2016,Kralingen Oost,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Kralingen Oost,Rotterdam,Buurt,82.6,58.3,7.8,20.5,33.1,88.0,11.8,8.2,27.0,.,.,4.9,9.1
BU05990842,2020,Kralingen Oost,Rotterdam,Buurt,1,"0,5",18 jaar of ouder,Waarde,Kralingen Oost,Rotterdam,Buurt,85.1,51.2,8.6,15.9,32.3,87.7,9.5,7.1,24.5,.,.,6.3,11.5
BU05990842,2022,Kralingen Oost,Rotterdam,Buurt,1,0.6,18 jaar of ouder,Waarde,Kralingen Oost,Rotterdam,Buurt,75.6,51.9,9.6,17.3,36.4,84.3,11.2,8.0,26.9,25.1,14.9,11.1,16.2
BU05990843,2016,Kralingse Bos,Rotterdam,Buurt,1,"1,3",18 jaar of ouder,Waarde,Kralingse Bos,Rotterdam,Buurt,74.0,43.8,17.7,27.4,41.6,79.3,9.5,7.8,35.2,.,.,7.8,10.6
BU05990843,2020,Kralingse Bos,Rotterdam,Buurt,1,"1,7",18 jaar of ouder,Waarde,Kralingse Bos,Rotterdam,Buurt,76.3,41.9,20.2,19.9,45.8,78.1,7.8,6.7,35.0,.,.,6.8,11.1
BU05990843,2022,Kralingse Bos,Rotterdam,Buurt,3,1.8,18 jaar of ouder,Waarde,Kralingse Bos,Rotterdam,Buurt,66.7,41.5,20.7,20.6,46.9,77.4,8.7,7.5,36.5,22.4,17.2,10.2,13.4
BU05990845,2016,De Esch,Rotterdam,Buurt,1,"0,7",18 jaar of ouder,Waarde,De Esch,Rotterdam,Buurt,69.7,44.7,15.7,24.7,47.1,76.0,8.6,6.4,36.4,.,.,10.3,16.0
BU05990845,2020,De Esch,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,De Esch,Rotterdam,Buurt,73.8,40.5,17.7,20.2,51.5,71.0,7.3,5.2,33.8,.,.,10.3,17.3
BU05990845,2022,De Esch,Rotterdam,Buurt,1,0.7,18 jaar of ouder,Waarde,De Esch,Rotterdam,Buurt,62.3,39.7,18.4,21.4,51.6,69.6,8.5,5.6,36.1,30.9,23.1,15.7,21.3
BU05990847,2016,Struisenburg,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Struisenburg,Rotterdam,Buurt,80.2,60.8,8.2,27.6,32.7,85.1,14.4,8.6,26.0,.,.,6.8,12.7
BU05990847,2020,Struisenburg,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Struisenburg,Rotterdam,Buurt,83.0,50.9,9.1,21.4,32.5,84.7,12.8,7.8,24.4,.,.,8.6,15.3
BU05990847,2022,Struisenburg,Rotterdam,Buurt,1,0.7,18 jaar of ouder,Waarde,Struisenburg,Rotterdam,Buurt,71.3,53.5,9.9,22.4,32.6,82.5,13.7,9.3,27.0,31.9,19.2,15.1,21.6
BU05991017,2016,Kop van Zuid,Rotterdam,Buurt,1,"0,5",18 jaar of ouder,Waarde,Kop van Zuid,Rotterdam,Buurt,83.8,59.2,9.6,24.9,33.8,85.2,11.0,6.8,22.6,.,.,6.5,10.8
BU05991017,2020,Kop van Zuid,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Kop van Zuid,Rotterdam,Buurt,85.5,50.2,11.4,18.7,32.2,85.3,9.2,5.6,22.5,.,.,7.9,12.9
BU05991017,2022,Kop van Zuid,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Kop van Zuid,Rotterdam,Buurt,73.7,50.5,12.5,20.2,36.0,82.3,11.9,7.5,27.3,27.8,17.6,13.4,17.6
BU05991079,2016,Kop van Zuid - Entrepot,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Kop van Zuid - Entrepot,Rotterdam,Buurt,67.1,47.5,16.9,24.7,53.5,65.4,7.7,5.5,36.1,.,.,11.5,15.6
BU05991079,2020,Kop van Zuid - Entrepot,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Kop van Zuid - Entrepot,Rotterdam,Buurt,73.0,42.5,18.9,20.6,56.1,61.3,6.9,4.7,32.9,.,.,10.7,17.3
BU05991079,2022,Kop van Zuid - Entrepot,Rotterdam,Buurt,1,0.5,18 jaar of ouder,Waarde,Kop van Zuid - Entrepot,Rotterdam,Buurt,61.1,43.1,18.2,20.7,55.1,61.1,8.6,5.3,36.3,31.5,25.3,16.6,22.2
BU05991080,2016,Vreewijk,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Vreewijk,Rotterdam,Buurt,59.4,42.0,21.6,29.9,56.6,65.4,9.0,6.2,43.6,.,.,13.2,17.3
BU05991080,2020,Vreewijk,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Vreewijk,Rotterdam,Buurt,66.1,38.9,23.1,25.7,59.8,60.9,7.1,5.6,39.2,.,.,12.3,19.3
BU05991080,2022,Vreewijk,Rotterdam,Buurt,1,0.5,18 jaar of ouder,Waarde,Vreewijk,Rotterdam,Buurt,55.1,40.5,22.4,26.1,56.5,62.8,9.3,6.5,40.8,34.1,27.4,18.0,23.4
BU05991081,2016,Bloemhof,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Bloemhof,Rotterdam,Buurt,59.6,44.2,21.2,34.4,66.3,49.7,7.4,4.4,39.3,.,.,16.7,19.6
BU05991081,2020,Bloemhof,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Bloemhof,Rotterdam,Buurt,68.5,41.9,22.4,28.3,65.5,49.7,7.4,4.6,34.3,.,.,15.1,21.8
BU05991081,2022,Bloemhof,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Bloemhof,Rotterdam,Buurt,53.0,43.5,22.9,29.1,61.2,52.5,9.0,5.4,38.0,40.4,33.7,22.6,28.0
BU05991082,2016,Hillesluis,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Hillesluis,Rotterdam,Buurt,60.5,43.6,20.8,32.9,69.1,45.1,6.7,3.6,37.9,.,.,16.5,19.8
BU05991082,2020,Hillesluis,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Hillesluis,Rotterdam,Buurt,69.4,40.2,21.8,26.5,68.1,46.2,6.1,3.6,32.6,.,.,14.7,22.1
BU05991082,2022,Hillesluis,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Hillesluis,Rotterdam,Buurt,54.5,43.2,22.3,26.7,63.9,49.9,8.5,4.6,36.3,39.7,31.8,22.4,28.0
BU05991085,2016,Katendrecht,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Katendrecht,Rotterdam,Buurt,66.9,46.3,18.1,25.2,53.4,68.6,7.4,5.3,36.9,.,.,11.0,15.4
BU05991085,2020,Katendrecht,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Katendrecht,Rotterdam,Buurt,76.1,45.4,16.4,19.6,47.8,70.1,8.0,4.6,30.4,.,.,9.4,15.6
BU05991085,2022,Katendrecht,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Katendrecht,Rotterdam,Buurt,66.6,47.2,16.1,20.2,48.0,71.7,9.7,5.6,32.5,28.7,20.9,14.0,18.9
BU05991086,2016,Afrikaanderwijk,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Afrikaanderwijk,Rotterdam,Buurt,53.7,40.6,23.0,31.6,71.3,42.0,6.1,3.6,43.0,.,.,19.1,21.2
BU05991086,2020,Afrikaanderwijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Afrikaanderwijk,Rotterdam,Buurt,65.3,39.7,23.4,25.2,70.2,43.6,5.8,3.5,36.0,.,.,15.4,21.9
BU05991086,2022,Afrikaanderwijk,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Afrikaanderwijk,Rotterdam,Buurt,50.4,41.1,21.9,25.6,67.7,45.2,7.6,4.3,40.2,40.1,35.3,22.9,28.5
BU05991087,2016,Feijenoord,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Feijenoord,Rotterdam,Buurt,53.8,42.0,22.5,30.0,69.1,44.3,6.3,3.7,43.0,.,.,18.9,22.9
BU05991087,2020,Feijenoord,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Feijenoord,Rotterdam,Buurt,63.7,40.2,23.9,24.9,70.4,43.2,5.3,3.2,37.5,.,.,15.8,23.8
BU05991087,2022,Feijenoord,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Feijenoord,Rotterdam,Buurt,50.0,41.5,23.2,24.9,68.4,45.0,6.6,3.9,40.9,40.6,34.3,23.6,28.7
BU05991088,2016,Noordereiland,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Noordereiland,Rotterdam,Buurt,69.2,49.8,14.7,27.6,42.7,76.8,10.3,7.2,35.9,.,.,10.1,14.5
BU05991088,2020,Noordereiland,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Noordereiland,Rotterdam,Buurt,76.5,45.0,15.9,21.6,41.7,74.5,10.0,6.3,31.8,.,.,9.4,15.3
BU05991088,2022,Noordereiland,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Noordereiland,Rotterdam,Buurt,65.3,47.1,15.6,22.2,41.6,73.8,11.4,7.3,34.0,29.6,21.4,14.4,20.0
BU05991283,2016,Oud IJsselmonde,Rotterdam,Buurt,1,"0,9",18 jaar of ouder,Waarde,Oud IJsselmonde,Rotterdam,Buurt,77.1,43.9,16.4,22.5,48.1,77.8,7.7,6.1,32.5,.,.,6.4,10.6
BU05991283,2020,Oud IJsselmonde,Rotterdam,Buurt,1,"0,7",18 jaar of ouder,Waarde,Oud IJsselmonde,Rotterdam,Buurt,79.4,42.0,17.5,17.5,51.1,73.5,6.2,5.2,30.6,.,.,7.0,12.0
BU05991283,2022,Oud IJsselmonde,Rotterdam,Buurt,1,0.8,18 jaar of ouder,Waarde,Oud IJsselmonde,Rotterdam,Buurt,69.1,39.6,18.4,18.3,51.1,72.3,7.8,5.5,32.4,24.0,18.9,11.5,16.4
BU05991284,2016,Lombardijen,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,Lombardijen,Rotterdam,Buurt,63.8,40.1,20.0,28.3,59.6,64.5,7.1,4.9,39.5,.,.,12.0,17.6
BU05991284,2020,Lombardijen,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,Lombardijen,Rotterdam,Buurt,70.0,37.8,22.3,23.8,62.6,58.3,5.7,4.1,35.5,.,.,11.5,18.7
BU05991284,2022,Lombardijen,Rotterdam,Buurt,1,1.6,18 jaar of ouder,Waarde,Lombardijen,Rotterdam,Buurt,57.4,39.0,22.0,24.5,60.7,59.9,7.0,4.8,37.8,34.1,26.9,17.9,23.9
BU05991289,2016,Groot IJsselmonde,Rotterdam,Buurt,1,"1,1",18 jaar of ouder,Waarde,Groot IJsselmonde,Rotterdam,Buurt,65.3,40.5,19.6,26.3,56.7,68.2,7.7,5.2,39.5,.,.,10.7,15.4
BU05991289,2020,Groot IJsselmonde,Rotterdam,Buurt,1,"1,1",18 jaar of ouder,Waarde,Groot IJsselmonde,Rotterdam,Buurt,70.2,37.5,21.4,22.2,60.5,62.9,6.0,4.6,36.4,.,.,10.3,16.7
BU05991289,2022,Groot IJsselmonde,Rotterdam,Buurt,1,1.2,18 jaar of ouder,Waarde,Groot IJsselmonde,Rotterdam,Buurt,58.5,37.9,22.4,22.7,58.8,62.8,7.2,5.1,38.5,30.9,24.9,15.9,21.5
BU05991290,2016,Beverwaard,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Beverwaard,Rotterdam,Buurt,68.0,42.2,20.4,28.4,55.7,69.4,7.6,4.8,36.5,.,.,11.1,15.7
BU05991290,2020,Beverwaard,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Beverwaard,Rotterdam,Buurt,72.2,40.0,22.2,23.8,60.1,64.3,5.9,4.2,34.1,.,.,10.7,17.0
BU05991290,2022,Beverwaard,Rotterdam,Buurt,1,0.7,18 jaar of ouder,Waarde,Beverwaard,Rotterdam,Buurt,59.4,39.4,23.7,24.3,58.7,62.5,8.2,4.9,37.0,31.6,25.4,16.9,22.2
BU05991391,2016,Pernis,Rotterdam,Buurt,1,5,18 jaar of ouder,Waarde,Pernis,Rotterdam,Buurt,75.6,43.8,18.3,22.4,42.8,80.7,9.0,7.2,34.7,.,.,6.1,9.5
BU05991391,2020,Pernis,Rotterdam,Buurt,1,5,18 jaar of ouder,Waarde,Pernis,Rotterdam,Buurt,77.6,42.7,18.9,18.4,44.4,78.4,7.2,5.9,32.6,.,.,6.4,11.2
BU05991391,2022,Pernis,Rotterdam,Buurt,1,5.5,18 jaar of ouder,Waarde,Pernis,Rotterdam,Buurt,69.0,38.3,20.0,19.2,45.4,77.4,9.0,6.8,33.5,21.5,17.0,9.5,13.9
BU05991444,2016,'s Gravenland,Rotterdam,Buurt,1,2,18 jaar of ouder,Waarde,'s-Gravenland,Rotterdam,Buurt,79.8,48.4,13.0,18.7,40.4,83.6,7.9,6.7,31.3,.,.,5.3,8.6
BU05991444,2020,'s-Gravenland,Rotterdam,Buurt,1,"2,3",18 jaar of ouder,Waarde,'s-Gravenland,Rotterdam,Buurt,81.6,43.6,14.0,14.2,43.8,81.3,7.1,5.6,29.9,.,.,5.9,10.3
BU05991444,2022,'s-Gravenland,Rotterdam,Buurt,1,2.4,18 jaar of ouder,Waarde,'s-Gravenland,Rotterdam,Buurt,71.8,43.2,15.2,15.0,45.3,78.9,7.8,6.1,32.0,20.9,15.3,9.2,13.6
BU05991446,2016,Kralingseveer,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Kralingseveer,Rotterdam,Buurt,76.9,47.0,15.8,22.1,42.8,82.6,8.2,6.1,33.0,.,.,6.4,10.0
BU05991446,2020,Kralingseveer,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Kralingseveer,Rotterdam,Buurt,79.2,44.1,17.1,17.3,45.4,78.3,7.2,5.5,31.1,.,.,7.0,11.5
BU05991446,2022,Kralingseveer,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Kralingseveer,Rotterdam,Buurt,69.3,41.0,18.0,18.2,46.6,77.2,8.6,6.2,32.8,23.4,17.5,10.5,15.8
BU05991448,2016,Prinsenland,Rotterdam,Buurt,1,"1,2",18 jaar of ouder,Waarde,Prinsenland,Rotterdam,Buurt,68.6,43.8,16.5,22.3,48.1,76.0,8.7,6.6,39.7,.,.,8.6,12.9
BU05991448,2020,Prinsenland,Rotterdam,Buurt,1,"1,5",18 jaar of ouder,Waarde,Prinsenland,Rotterdam,Buurt,72.3,39.5,18.5,18.8,52.5,72.6,7.1,5.6,37.6,.,.,8.3,14.7
BU05991448,2022,Prinsenland,Rotterdam,Buurt,1,1.4,18 jaar of ouder,Waarde,Prinsenland,Rotterdam,Buurt,61.8,39.0,19.0,18.4,52.9,71.1,7.2,6.2,39.3,25.7,20.4,12.1,18.1
BU05991449,2016,Het Lage Land,Rotterdam,Buurt,1,"0,5",18 jaar of ouder,Waarde,Het Lage Land,Rotterdam,Buurt,69.9,47.0,15.3,23.9,46.3,77.4,9.3,6.4,37.3,.,.,8.7,13.1
BU05991449,2020,Het Lage Land,Rotterdam,Buurt,1,"0,5",18 jaar of ouder,Waarde,Het Lage Land,Rotterdam,Buurt,74.0,42.0,16.5,19.9,50.0,74.4,7.6,5.5,34.0,.,.,8.8,15.3
BU05991449,2022,Het Lage Land,Rotterdam,Buurt,1,0.5,18 jaar of ouder,Waarde,Het Lage Land,Rotterdam,Buurt,63.3,42.0,17.6,20.6,49.4,73.1,8.8,6.7,36.0,28.7,20.9,13.8,19.5
BU05991463,2016,Ommoord,Rotterdam,Buurt,1,"1,3",18 jaar of ouder,Waarde,Ommoord,Rotterdam,Buurt,67.8,43.2,17.2,21.8,50.5,76.2,8.2,6.7,41.3,.,.,8.4,12.4
BU05991463,2020,Ommoord,Rotterdam,Buurt,1,"1,4",18 jaar of ouder,Waarde,Ommoord,Rotterdam,Buurt,71.7,39.5,18.5,18.3,53.9,71.9,6.3,5.3,38.1,.,.,8.0,14.0
BU05991463,2022,Ommoord,Rotterdam,Buurt,1,1.4,18 jaar of ouder,Waarde,Ommoord,Rotterdam,Buurt,61.4,39.7,19.1,18.1,53.6,71.1,7.1,6.2,38.9,25.7,20.4,12.2,17.7
BU05991466,2016,Zevenkamp,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Zevenkamp,Rotterdam,Buurt,70.2,46.5,17.9,24.8,50.2,75.1,8.4,6.0,37.8,.,.,9.4,13.5
BU05991466,2020,Zevenkamp,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Zevenkamp,Rotterdam,Buurt,74.0,42.7,19.3,20.7,54.7,70.6,6.5,5.0,35.6,.,.,8.9,14.9
BU05991466,2022,Zevenkamp,Rotterdam,Buurt,1,0.7,18 jaar of ouder,Waarde,Zevenkamp,Rotterdam,Buurt,62.2,41.3,20.2,20.9,53.8,69.7,7.8,5.7,37.7,27.5,21.3,13.9,19.2
BU05991467,2016,Oosterflank,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Oosterflank,Rotterdam,Buurt,66.2,46.1,18.2,25.9,51.1,73.7,8.9,6.4,40.6,.,.,10.4,15.1
BU05991467,2020,Oosterflank,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Oosterflank,Rotterdam,Buurt,70.5,40.8,19.5,21.7,55.8,69.3,7.0,5.2,37.4,.,.,9.9,17.2
BU05991467,2022,Oosterflank,Rotterdam,Buurt,1,1.3,18 jaar of ouder,Waarde,Oosterflank,Rotterdam,Buurt,58.7,40.3,20.5,22.1,55.2,67.1,8.0,6.0,40.7,30.3,23.6,15.4,21.6
BU05991468,2016,Nesselande,Rotterdam,Buurt,1,"2,4",18 jaar of ouder,Waarde,Nesselande,Rotterdam,Buurt,82.6,48.6,13.0,17.4,43.7,82.6,7.4,5.0,28.0,.,.,4.7,7.5
BU05991468,2020,Nesselande,Rotterdam,Buurt,1,"2,4",18 jaar of ouder,Waarde,Nesselande,Rotterdam,Buurt,84.4,45.9,13.3,12.7,47.1,80.1,5.8,4.5,27.0,.,.,5.1,9.1
BU05991468,2022,Nesselande,Rotterdam,Buurt,1,2.7,18 jaar of ouder,Waarde,Nesselande,Rotterdam,Buurt,74.9,44.0,14.5,13.3,47.0,79.0,7.8,5.3,28.9,18.5,14.4,7.6,12.6
BU05991570,2016,Charlois Zuidrand,Rotterdam,Buurt,1,"1,3",18 jaar of ouder,Waarde,Charlois Zuidrand,Rotterdam,Buurt,77.5,45.2,15.6,18.0,45.8,82.0,7.3,6.3,33.0,.,.,4.4,7.5
BU05991570,2020,Charlois Zuidrand,Rotterdam,Buurt,3,"1,4",18 jaar of ouder,Waarde,Charlois Zuidrand,Rotterdam,Buurt,79.6,43.3,16.8,15.8,48.7,78.4,6.2,5.6,31.0,.,.,6.8,12.3
BU05991570,2022,Charlois Zuidrand,Rotterdam,Buurt,1,1.3,18 jaar of ouder,Waarde,Charlois Zuidrand,Rotterdam,Buurt,68.7,41.8,16.4,18.2,51.3,74.8,7.6,5.5,33.0,23.0,17.1,9.7,16.9
BU05991571,2016,Tarwewijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Tarwewijk,Rotterdam,Buurt,65.7,49.5,17.8,35.0,56.7,60.8,8.9,4.8,34.1,.,.,13.8,18.4
BU05991571,2020,Tarwewijk,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Tarwewijk,Rotterdam,Buurt,73.6,45.9,20.0,29.2,57.7,60.4,9.1,5.2,30.3,.,.,13.1,19.8
BU05991571,2022,Tarwewijk,Rotterdam,Buurt,1,0.4,18 jaar of ouder,Waarde,Tarwewijk,Rotterdam,Buurt,58.4,46.6,18.8,29.9,53.0,63.5,10.7,6.1,34.3,37.6,30.2,20.4,26.4
BU05991572,2016,Carnisse,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Carnisse,Rotterdam,Buurt,69.3,50.1,16.5,35.3,51.4,68.6,10.1,5.4,32.6,.,.,11.7,17.0
