Regioaanduiding.Codering..code.,Perioden,Wijken.en.buurten.x,Regioaanduiding.Gemeentenaam..naam..x,Regioaanduiding.Soort.regio..omschrijving..x,Regioaanduiding.Indelingswijziging.wijken.en.buurten..code.,Horeca.Cafés.en.dergelijke.Afstand.tot.café.e.d...km.,Leeftijd,Marges,Wijken.en.buurten.y,Regioaanduiding.Gemeentenaam..naam..y,Regioaanduiding.Soort.regio..omschrijving..y,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
BU05991572,2020,Carnisse,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Carnisse,Rotterdam,Buurt,75.3,45.9,19.0,29.7,51.4,68.4,8.7,5.4,29.7,.,.,11.8,18.7
BU05991572,2022,Carnisse,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Carnisse,Rotterdam,Buurt,61.2,45.8,18.3,30.0,47.7,70.1,11.3,6.6,32.9,35.6,25.5,18.6,25.0
BU05991573,2016,Zuidwijk,Rotterdam,Buurt,1,"1,3",18 jaar of ouder,Waarde,Zuidwijk,Rotterdam,Buurt,61.0,39.9,20.7,29.5,59.8,63.5,7.9,5.0,41.2,.,.,13.5,18.2
BU05991573,2020,Zuidwijk,Rotterdam,Buurt,3,"1,3",18 jaar of ouder,Waarde,Zuidwijk,Rotterdam,Buurt,68.3,38.8,23.1,25.0,63.4,56.4,6.0,4.1,36.5,.,.,12.4,19.6
BU05991573,2022,Zuidwijk,Rotterdam,Buurt,1,1.3,18 jaar of ouder,Waarde,Zuidwijk,Rotterdam,Buurt,54.9,37.8,23.0,25.7,62.1,57.8,7.2,4.7,39.9,35.3,28.3,18.4,24.9
BU05991574,2016,Oud Charlois,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Oud Charlois,Rotterdam,Buurt,66.6,47.5,18.4,30.9,55.1,65.5,8.7,5.0,36.5,.,.,12.5,16.7
BU05991574,2020,Oud Charlois,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Oud Charlois,Rotterdam,Buurt,73.4,45.4,19.4,25.1,55.8,64.2,7.3,4.4,32.1,.,.,11.6,18.3
BU05991574,2022,Oud Charlois,Rotterdam,Buurt,1,0.5,18 jaar of ouder,Waarde,Oud Charlois,Rotterdam,Buurt,60.5,45.4,19.6,26.0,54.4,65.6,8.7,5.6,35.3,33.9,25.2,17.6,23.4
BU05991575,2016,Wielewaal,Rotterdam,Buurt,1,"0,9",18 jaar of ouder,Waarde,Wielewaal,Rotterdam,Buurt,56.8,34.4,22.8,28.4,57.3,67.9,7.6,6.2,48.7,.,.,12.1,16.9
BU05991575,2020,Wielewaal,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,Wielewaal,Rotterdam,Buurt,62.3,35.8,22.9,25.0,57.3,65.8,7.0,5.5,45.5,.,.,10.2,18.7
BU05991575,2022,Wielewaal,Rotterdam,Buurt,3,1.2,18 jaar of ouder,Waarde,Wielewaal,Rotterdam,Buurt,52.7,35.7,23.7,24.9,56.6,66.3,7.9,6.5,45.6,30.5,25.4,15.3,22.2
BU05991576,2016,Zuidplein,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Zuidplein,Rotterdam,Buurt,67.8,44.9,16.7,30.8,51.6,70.6,9.0,5.8,36.6,.,.,9.8,15.1
BU05991576,2020,Zuidplein,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Zuidplein,Rotterdam,Buurt,73.4,39.2,18.6,24.1,52.4,67.1,7.9,5.9,33.0,.,.,10.1,17.2
BU05991576,2022,Zuidplein,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Zuidplein,Rotterdam,Buurt,61.1,41.2,18.8,25.8,49.8,68.8,10.2,6.7,35.2,31.5,23.7,15.9,22.4
BU05991577,2016,Pendrecht,Rotterdam,Buurt,1,"0,5",18 jaar of ouder,Waarde,Pendrecht,Rotterdam,Buurt,63.0,41.6,20.4,28.4,62.0,60.5,6.9,4.3,38.3,.,.,13.3,17.9
BU05991577,2020,Pendrecht,Rotterdam,Buurt,3,"0,5",18 jaar of ouder,Waarde,Pendrecht,Rotterdam,Buurt,70.0,40.2,22.7,24.5,65.3,55.2,5.6,3.5,34.1,.,.,12.3,20.4
BU05991577,2022,Pendrecht,Rotterdam,Buurt,1,0.5,18 jaar of ouder,Waarde,Pendrecht,Rotterdam,Buurt,56.2,39.8,22.2,25.0,64.3,55.3,6.6,4.1,37.3,35.5,28.0,19.0,25.1
BU05991578,2016,Zuiderpark,Rotterdam,Buurt,1,"0,7",18 jaar of ouder,Waarde,Zuiderpark,Rotterdam,Buurt,58.1,34.1,21.3,22.9,54.8,74.1,9.5,7.6,50.6,.,.,10.9,17.2
BU05991578,2020,Zuiderpark,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,Zuiderpark,Rotterdam,Buurt,65.1,34.4,21.5,23.0,59.4,62.8,7.0,6.6,44.1,.,.,11.1,16.6
BU05991578,2022,Zuiderpark,Rotterdam,Buurt,3,0.6,18 jaar of ouder,Waarde,Zuiderpark,Rotterdam,Buurt,61.9,40.8,19.2,23.1,56.4,62.8,7.1,5.2,36.6,28.9,22.3,14.5,20.9
BU05991593,2016,Heijplaat,Rotterdam,Buurt,1,"4,6",18 jaar of ouder,Waarde,Heijplaat,Rotterdam,Buurt,67.0,39.1,21.9,26.3,48.1,73.5,9.5,6.7,38.6,.,.,9.9,12.9
BU05991593,2020,Heijplaat,Rotterdam,Buurt,1,"4,6",18 jaar of ouder,Waarde,Heijplaat,Rotterdam,Buurt,73.8,40.9,21.2,21.5,47.9,74.8,7.3,4.6,33.6,.,.,8.8,14.3
BU05991593,2022,Heijplaat,Rotterdam,Buurt,1,4.7,18 jaar of ouder,Waarde,Heijplaat,Rotterdam,Buurt,62.9,37.4,22.3,23.2,51.4,70.1,8.9,6.2,35.1,27.0,21.3,12.9,17.5
BU05991692,2016,Hoogvliet Noord,Rotterdam,Buurt,1,"0,9",18 jaar of ouder,Waarde,Hoogvliet Noord,Rotterdam,Buurt,69.9,42.4,21.1,26.2,52.2,73.7,7.7,4.9,36.9,.,.,9.1,12.8
BU05991692,2020,Hoogvliet Noord,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,Hoogvliet Noord,Rotterdam,Buurt,74.8,40.6,21.4,20.3,56.2,69.6,5.9,4.3,33.7,.,.,9.5,15.1
BU05991692,2022,Hoogvliet Noord,Rotterdam,Buurt,1,0.9,18 jaar of ouder,Waarde,Hoogvliet Noord,Rotterdam,Buurt,63.2,40.0,22.2,21.1,56.0,69.0,7.3,4.9,35.6,27.5,21.6,13.5,18.9
BU05991699,2016,Hoogvliet Zuid,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,Hoogvliet Zuid,Rotterdam,Buurt,69.0,41.6,20.0,24.5,50.4,76.7,7.5,5.4,38.9,.,.,8.3,11.9
BU05991699,2020,Hoogvliet Zuid,Rotterdam,Buurt,1,"0,9",18 jaar of ouder,Waarde,Hoogvliet Zuid,Rotterdam,Buurt,72.8,37.9,21.5,19.8,54.8,71.6,6.0,5.0,36.1,.,.,8.5,14.3
BU05991699,2022,Hoogvliet Zuid,Rotterdam,Buurt,1,0.9,18 jaar of ouder,Waarde,Hoogvliet Zuid,Rotterdam,Buurt,62.4,38.8,22.3,20.4,54.4,70.6,7.3,5.5,38.1,26.3,20.7,12.6,17.4
BU05991701,2016,Strand en Duin,Rotterdam,Buurt,1,"1,5",18 jaar of ouder,Waarde,Strand en Duin,Rotterdam,Buurt,85.7,54.9,11.4,17.7,31.7,89.8,7.8,6.8,27.8,.,.,3.3,5.8
BU05991701,2020,Strand en Duin,Rotterdam,Buurt,3,"1,5",18 jaar of ouder,Waarde,Strand en Duin,Rotterdam,Buurt,85.1,52.5,12.0,13.6,33.6,88.1,8.2,6.0,27.1,.,.,3.6,6.7
BU05991701,2022,Strand en Duin,Rotterdam,Buurt,3,1.6,18 jaar of ouder,Waarde,Strand en Duin,Rotterdam,Buurt,78.0,51.2,15.7,13.5,34.3,87.1,10.0,7.3,27.4,15.7,11.2,5.7,9.1
BU05991702,2016,Dorp,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Dorp,Rotterdam,Buurt,73.0,48.0,16.5,22.4,42.0,82.7,7.8,7.3,38.8,.,.,7.2,10.8
BU05991702,2020,Dorp,Rotterdam,Buurt,3,"0,6",18 jaar of ouder,Waarde,Dorp,Rotterdam,Buurt,73.5,45.7,17.6,18.7,42.9,79.3,7.7,5.9,37.6,.,.,6.9,12.8
BU05991702,2022,Dorp,Rotterdam,Buurt,3,0.6,18 jaar of ouder,Waarde,Dorp,Rotterdam,Buurt,64.6,43.5,20.9,19.5,45.9,78.5,8.7,6.9,38.2,21.7,18.2,9.8,15.1
BU05991703,2016,Rijnpoort,Rotterdam,Buurt,1,"2,3",18 jaar of ouder,Waarde,Rijnpoort,Rotterdam,Buurt,82.2,50.0,11.5,18.7,35.6,87.4,9.9,8.0,28.0,.,.,3.5,7.2
BU05991703,2020,Rijnpoort,Rotterdam,Buurt,3,"2,3",18 jaar of ouder,Waarde,Rijnpoort,Rotterdam,Buurt,81.7,51.8,12.5,11.9,37.4,84.6,8.0,6.2,26.7,.,.,5.3,7.3
BU05991703,2022,Rijnpoort,Rotterdam,Buurt,1,2.3,18 jaar of ouder,Waarde,Rijnpoort,Rotterdam,Buurt,76.5,52.7,13.3,16.0,38.4,83.7,9.8,8.0,26.6,14.7,11.4,5.7,9.7
BU05991853,2016,Spaanse Polder,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,Spaanse Polder,Rotterdam,Buurt,75.9,45.6,15.8,23.2,43.5,81.3,8.9,7.3,33.5,.,.,6.5,10.4
BU05991853,2020,Spaanse Polder,Rotterdam,Buurt,1,"0,8",18 jaar of ouder,Waarde,Spaanse Polder,Rotterdam,Buurt,78.9,46.5,17.6,20.0,45.2,78.8,7.4,6.2,32.5,.,.,5.4,12.4
BU05991853,2022,Spaanse Polder,Rotterdam,Buurt,1,0.9,18 jaar of ouder,Waarde,Spaanse Polder,Rotterdam,Buurt,71.9,43.9,16.7,16.9,43.9,79.8,8.0,7.2,32.2,17.8,13.5,7.8,13.4
BU05991926,2016,Nieuw Mathenesse,Rotterdam,Buurt,3,"0,4",18 jaar of ouder,Waarde,Nieuw Mathenesse,Rotterdam,Buurt,62.9,41.5,24.4,45.5,48.6,65.9,10.2,8.4,40.5,.,.,12.8,25.8
BU05991926,2020,Nieuw Mathenesse,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Nieuw Mathenesse,Rotterdam,Buurt,87.3,51.1,8.8,23.3,41.4,82.0,8.6,4.3,17.4,.,.,9.0,18.2
BU05991926,2022,Nieuw Mathenesse,Rotterdam,Buurt,1,0.1,18 jaar of ouder,Waarde,Nieuw Mathenesse,Rotterdam,Buurt,74.2,52.8,11.8,27.2,42.9,79.7,8.5,4.8,21.3,34.7,20.0,15.8,27.6
BU05992194,2016,Waalhaven,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Waalhaven,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992194,2020,Waalhaven,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Waalhaven,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992194,2022,Waalhaven,Rotterdam,Buurt,1,2.4,18 jaar of ouder,Waarde,Waalhaven,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992196,2016,Eemhaven,Rotterdam,Buurt,1,"4,9",18 jaar of ouder,Waarde,Eemhaven,Rotterdam,Buurt,64.8,38.1,15.1,36.9,51.0,73.8,8.7,7.7,41.6,.,.,6.2,10.1
BU05992196,2020,Eemhaven,Rotterdam,Buurt,1,"4,5",18 jaar of ouder,Waarde,Eemhaven,Rotterdam,Buurt,78.1,51.5,15.2,33.4,45.9,73.3,7.6,6.1,38.8,.,.,5.7,12.9
BU05992196,2022,Eemhaven,Rotterdam,Buurt,1,4.6,18 jaar of ouder,Waarde,Eemhaven,Rotterdam,Buurt,68.1,39.3,19.7,21.7,45.6,77.0,11.7,8.1,29.7,25.3,17.5,10.7,17.3
BU05992198,2016,Waalhaven Zuid,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Waalhaven Zuid,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992198,2020,Waalhaven Zuid,Rotterdam,Buurt,1,"1,6",18 jaar of ouder,Waarde,Waalhaven Zuid,Rotterdam,Buurt,77.0,49.3,15.5,27.5,52.0,72.4,11.0,4.5,28.0,.,.,10.9,18.3
BU05992198,2022,Waalhaven Zuid,Rotterdam,Buurt,3,NA,18 jaar of ouder,Waarde,Waalhaven Zuid,Rotterdam,Buurt,67.0,46.2,14.5,30.9,54.7,75.4,5.9,4.1,27.0,35.9,18.6,15.3,26.9
BU05992295,2016,Vondelingenplaat,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Vondelingenplaat,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992295,2020,Vondelingenplaat,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Vondelingenplaat,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992295,2022,Vondelingenplaat,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Vondelingenplaat,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992306,2016,Botlek,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Botlek,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992306,2020,Botlek,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Botlek,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992306,2022,Botlek,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Botlek,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992307,2016,Europoort,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Europoort,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992307,2020,Europoort,Rotterdam,Buurt,3,NA,18 jaar of ouder,Waarde,Europoort,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992307,2022,Europoort,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Europoort,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992308,2016,Maasvlakte,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Maasvlakte,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992308,2020,Maasvlakte,Rotterdam,Buurt,3,NA,18 jaar of ouder,Waarde,Maasvlakte,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992308,2022,Maasvlakte,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Maasvlakte,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992459,2016,Bedrijvenpark Noord-West,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Bedrijvenpark Noord-West,Rotterdam,Buurt,83.4,54.4,8.5,30.0,31.1,88.3,16.4,8.5,23.4,.,.,7.8,13.3
BU05992459,2020,Bedrijvenpark Noord-West,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Bedrijvenpark Noord-West,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992459,2022,Bedrijvenpark Noord-West,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Bedrijvenpark Noord-West,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992540,2016,Rivium,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Rivium,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992540,2020,Rivium,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Rivium,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992540,2022,Rivium,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Rivium,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992704,2016,Rozenburg,Rotterdam,Buurt,1,"0,7",18 jaar of ouder,Waarde,Rozenburg,Rotterdam,Buurt,73.9,46.8,18.3,23.0,42.6,80.6,8.3,6.5,37.2,.,.,6.5,10.5
BU05992704,2020,Rozenburg,Rotterdam,Buurt,1,"0,6",18 jaar of ouder,Waarde,Rozenburg,Rotterdam,Buurt,75.3,43.6,20.7,18.6,46.9,78.0,6.8,5.3,35.5,.,.,7.3,12.6
BU05992704,2022,Rozenburg,Rotterdam,Buurt,1,0.8,18 jaar of ouder,Waarde,Rozenburg,Rotterdam,Buurt,65.0,42.0,22.8,19.4,48.6,75.5,8.6,6.2,36.4,23.9,19.0,11.0,15.9
BU05992705,2016,Noordzeeweg,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Noordzeeweg,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992705,2020,Noordzeeweg,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Noordzeeweg,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU05992705,2022,Noordzeeweg,Rotterdam,Buurt,1,NA,18 jaar of ouder,Waarde,Noordzeeweg,Rotterdam,Buurt,.,.,.,.,.,.,.,.,.,.,.,.,.
BU19310000,2016,Tiendhoek,Krimpenerwaard,Buurt,1,"0,8",18 jaar of ouder,Waarde,Tiendhoek,Krimpenerwaard,Buurt,81.2,48.7,14.0,19.3,42.2,85.0,9.3,6.3,30.0,.,.,5.1,7.6
BU19310000,2020,Tiendhoek,Krimpenerwaard,Buurt,1,"0,8",18 jaar of ouder,Waarde,Tiendhoek,Krimpenerwaard,Buurt,82.2,48.0,15.6,15.0,46.1,80.6,6.4,5.2,29.7,.,.,5.4,8.8
BU19310000,2022,Tiendhoek,Krimpenerwaard,Buurt,1,0.8,18 jaar of ouder,Waarde,Tiendhoek,Krimpenerwaard,Buurt,73.3,42.5,16.9,15.8,45.0,80.0,9.3,6.5,31.1,18.2,14.9,7.8,11.2
BU19310001,2016,Schuwacht,Krimpenerwaard,Buurt,1,"1,5",18 jaar of ouder,Waarde,Schuwacht,Krimpenerwaard,Buurt,81.9,46.9,13.1,15.5,41.9,85.1,9.6,7.0,30.0,.,.,3.3,5.5
BU19310001,2020,Schuwacht,Krimpenerwaard,Buurt,1,"1,6",18 jaar of ouder,Waarde,Schuwacht,Krimpenerwaard,Buurt,83.2,47.7,13.8,13.5,42.9,82.5,7.3,6.9,28.7,.,.,3.6,6.7
BU19310001,2022,Schuwacht,Krimpenerwaard,Buurt,1,1.6,18 jaar of ouder,Waarde,Schuwacht,Krimpenerwaard,Buurt,76.3,42.4,15.2,12.6,42.4,82.0,10.2,7.5,29.6,14.4,12.3,5.6,8.0
BU19310002,2016,Opperduit,Krimpenerwaard,Buurt,1,"2,3",18 jaar of ouder,Waarde,Opperduit,Krimpenerwaard,Buurt,83.8,46.2,12.5,15.4,42.1,86.1,9.4,6.5,27.1,.,.,3.2,5.4
BU19310002,2020,Opperduit,Krimpenerwaard,Buurt,1,"1,4",18 jaar of ouder,Waarde,Opperduit,Krimpenerwaard,Buurt,84.2,46.9,13.8,11.9,43.8,83.2,7.0,5.9,26.8,.,.,3.8,6.4
BU19310002,2022,Opperduit,Krimpenerwaard,Buurt,1,2.4,18 jaar of ouder,Waarde,Opperduit,Krimpenerwaard,Buurt,75.7,42.2,14.8,12.8,42.5,82.3,9.8,7.7,28.1,15.4,12.6,5.8,8.5
BU19310003,2016,Tiendweg-West,Krimpenerwaard,Buurt,1,"1,1",18 jaar of ouder,Waarde,Tiendweg-West,Krimpenerwaard,Buurt,82.9,47.7,10.7,13.8,43.4,85.6,9.2,7.0,28.7,.,.,3.1,5.1
BU19310003,2020,Tiendweg-West,Krimpenerwaard,Buurt,1,1,18 jaar of ouder,Waarde,Tiendweg-West,Krimpenerwaard,Buurt,80.9,46.6,12.3,13.7,48.1,79.7,6.6,6.3,30.9,.,.,4.8,7.7
BU19310003,2022,Tiendweg-West,Krimpenerwaard,Buurt,1,1,18 jaar of ouder,Waarde,Tiendweg-West,Krimpenerwaard,Buurt,74.9,43.6,13.1,13.2,44.9,81.1,9.7,7.8,30.9,15.8,13.1,6.5,9.8
BU19310004,2016,Lekkerkerk-Oost,Krimpenerwaard,Buurt,1,"0,6",18 jaar of ouder,Waarde,Lekkerkerk-Oost,Krimpenerwaard,Buurt,80.0,47.9,15.4,20.6,43.7,83.9,9.0,6.3,30.9,.,.,5.2,8.1
BU19310004,2020,Lekkerkerk-Oost,Krimpenerwaard,Buurt,1,"0,6",18 jaar of ouder,Waarde,Lekkerkerk-Oost,Krimpenerwaard,Buurt,80.6,45.6,17.5,16.0,47.8,79.0,6.4,5.2,31.3,.,.,5.8,9.2
BU19310004,2022,Lekkerkerk-Oost,Krimpenerwaard,Buurt,1,0.6,18 jaar of ouder,Waarde,Lekkerkerk-Oost,Krimpenerwaard,Buurt,70.4,40.6,19.2,16.8,46.0,78.9,8.8,6.1,32.1,20.0,15.9,9.0,12.3
BU19310005,2016,Prinsessenbuurt,Krimpenerwaard,Buurt,1,"0,3",18 jaar of ouder,Waarde,Prinsessenbuurt,Krimpenerwaard,Buurt,76.6,45.4,14.2,17.3,47.2,81.7,9.1,6.1,33.9,.,.,5.3,9.3
BU19310005,2020,Prinsessenbuurt,Krimpenerwaard,Buurt,1,"0,3",18 jaar of ouder,Waarde,Prinsessenbuurt,Krimpenerwaard,Buurt,78.3,43.3,15.8,13.7,49.8,78.0,6.0,5.5,33.1,.,.,5.8,9.4
BU19310005,2022,Prinsessenbuurt,Krimpenerwaard,Buurt,1,0.3,18 jaar of ouder,Waarde,Prinsessenbuurt,Krimpenerwaard,Buurt,70.2,40.1,17.3,13.6,48.3,77.7,8.8,6.7,33.2,18.3,15.5,7.7,12.0
BU19310006,2016,Koninginnenbuurt,Krimpenerwaard,Buurt,1,"0,4",18 jaar of ouder,Waarde,Koninginnenbuurt,Krimpenerwaard,Buurt,74.4,43.5,16.0,19.0,47.2,81.6,9.0,6.3,36.2,.,.,5.7,9.5
BU19310006,2020,Koninginnenbuurt,Krimpenerwaard,Buurt,1,"0,3",18 jaar of ouder,Waarde,Koninginnenbuurt,Krimpenerwaard,Buurt,76.3,42.0,18.1,15.1,51.5,75.6,6.2,5.5,35.5,.,.,5.7,10.5
BU19310006,2022,Koninginnenbuurt,Krimpenerwaard,Buurt,1,0.3,18 jaar of ouder,Waarde,Koninginnenbuurt,Krimpenerwaard,Buurt,67.4,38.6,18.6,15.5,50.8,75.2,8.0,6.5,36.2,20.1,17.1,8.7,13.1
BU19310007,2016,Wibautsraat en Lorentzweg,Krimpenerwaard,Buurt,1,"0,3",18 jaar of ouder,Waarde,Wibautsraat en Lorentzweg,Krimpenerwaard,Buurt,71.4,41.9,17.0,22.1,51.1,77.2,9.4,6.6,36.9,.,.,7.6,11.6
BU19310007,2020,Wibautsraat en Lorentzweg,Krimpenerwaard,Buurt,1,"0,3",18 jaar of ouder,Waarde,Wibautsraat en Lorentzweg,Krimpenerwaard,Buurt,73.8,40.6,19.4,17.9,56.0,70.2,6.1,4.8,35.1,.,.,7.7,13.3
BU19310007,2022,Wibautsraat en Lorentzweg,Krimpenerwaard,Buurt,1,0.3,18 jaar of ouder,Waarde,Wibautsraat en Lorentzweg,Krimpenerwaard,Buurt,64.3,38.1,20.5,19.9,54.5,69.6,7.9,5.9,35.7,24.5,21.0,11.6,16.3
BU19310008,2016,Molenwerf en omstreken,Krimpenerwaard,Buurt,1,"0,6",18 jaar of ouder,Waarde,Molenwerf en omstreken,Krimpenerwaard,Buurt,74.5,43.2,15.9,16.8,48.9,81.0,8.5,6.4,35.5,.,.,5.0,8.4
BU19310008,2020,Molenwerf en omstreken,Krimpenerwaard,Buurt,1,"0,6",18 jaar of ouder,Waarde,Molenwerf en omstreken,Krimpenerwaard,Buurt,76.8,42.1,18.0,13.7,52.3,76.0,5.8,5.1,34.6,.,.,5.0,9.3
BU19310008,2022,Molenwerf en omstreken,Krimpenerwaard,Buurt,1,0.8,18 jaar of ouder,Waarde,Molenwerf en omstreken,Krimpenerwaard,Buurt,68.1,37.9,19.1,13.5,51.4,74.5,7.2,5.9,36.3,17.8,16.3,7.2,12.0
